code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
CSN,436 (1),KORD,ZSPD,,B-20EM,37000,,12:05,21:55,9:50,,847,P,3,1
CSN,436 (2),KORD,ZSPD,,B-20EM,37000,,11:30,20:40,9:10,,847,P,1,1
CSN,436 (3),KORD,ZSPD,,B-20EM,37000,,15:55,6:06,14:11,,847,P,2,1
CSN,437 (1A),PANC,KORD,,B-2028,37000,,9:45,15:20,5:35,,372,C,0,1
CSN,437 (1B),ZSPD,PANC,,B-2028,38000,,22:00,7:30,9:30,,537,C,46,1
CSN,437 (2A),PANC,KORD,,B-2028,37000,,9:30,15:05,5:35,,372,C,5,1
CSN,437 (2B),ZSPD,PANC,,B-2028,38000,,17:00,2:30,9:30,,537,C,2,1
CSN,437 (3A),ZSPD,PANC,,B-2028,38000,,5:40,13:16,7:36,,537,C,1,1
CSN,437 (3B),PANC,KORD,,B-2028,37000,,3:30,9:05,5:35,,372,C,3,1
CSN,437 (4A),ZSPD,PANC,,B-2028,38000,,5:30,12:28,6:58,,537,C,3,1
CSN,437 (4B),PANC,KORD,,B-2028,37000,,0:00,6:00,6:00,,372,C,4,1
CSN,437 (5A),ZSPD,PANC,,B-2028,38000,,20:30,6:30,10:00,,537,C,0,1
CSN,437 (5B),PANC,KORD,,B-2028,37000,,3:50,9:50,6:00,,372,C,1,1
CSN,437 (6A),PANC,KORD,,B-2028,37000,,0:30,5:30,5:00,,372,C,6,1
CSN,438 (1),KORD,ZSPD,,B-2028,37000,,0:35,13:10,12:35,,847,C,1,1
CSN,438 (2),KORD,ZSPD,,B-2028,37000,,12:05,22:55,10:50,,847,C,4,1
CSN,438 (3),KORD,ZSPD,,B-2028,37000,,20:50,10:25,13:35,,847,C,5,1
CSN,438 (4),KORD,ZSPD,,B-2028,37000,,1:25,16:10,14:45,,847,C,2,1
CSN,438 (5),KORD,ZSPD,,B-2028,37000,,1:25,15:05,13:40,,847,C,6,1
CSN,438 (6),KORD,ZSPD,,B-2028,37000,,16:25,7:31,15:06,,847,C,3,1
CSN,441 (1),ZSPD,KLAX,,B-2010,38000,,16:05,4:30,12:25,,783,C,240,1
CSN,441 (2),ZSPD,KLAX,,B-2010,38000,,3:30,14:25,10:55,,783,C,1,1
CSN,441 (3),ZSPD,KLAX,,B-2010,38000,,7:30,19:17,11:47,,783,C,3,1
CSN,441 (4),ZSPD,KLAX,,B-2010,38000,,7:30,18:13,10:43,,783,C,5,1
CSN,442 (1),KLAX,ZSPD,,B-2010,37000,,7:30,19:55,12:25,,783,C,246,1
CSN,442 (2),KLAX,ZSPD,,B-2010,37000,,17:25,6:55,13:30,,783,C,1,1
