Dep,Arr,Route
ZBAA,ZSGS,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 P468 H47 EMRAL W105 NCH H46 RUNEK W19 PANBO J646 JGS
ZBAA,ZSGS,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 P230 H47 EMRAL W105 NCH H46 RUNEK W19 PANBO J646 JGS
ZBAA,ZSGS,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 SEGPI V39 P558 X43 P230 H47 EMRAL W105 NCH H46 RUNEK W19 PANBO J646 JGS
ZBAA,ZSGZ,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 P262 H46 RUNEK W19 PLT
ZBAA,ZSGZ,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 P262 H46 RUNEK W19 PLT
ZBAA,ZSGZ,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 P468 H47 EMRAL W105 NCH H46 RUNEK W19 PLT
ZBAA,ZSGZ,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 P468 H47 EMRAL W105 NCH H46 RUNEK W19 PLT
ZBAA,ZSGZ,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 P230 H47 EMRAL W105 NCH H46 RUNEK W19 PLT
ZBAA,ZSGZ,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 SEGPI V39 P558 X43 P230 H47 EMRAL W105 NCH H46 RUNEK W19 PLT
ZBAA,ZSHC,ELKUR W40 YQG W142 DALIM A593 DPX A470 OF W95 SAPIN A470 IGRAT
ZBAA,ZSHC,IGMOR W36 LOTGO W575 GOTSU W201 HCH W5 TAO H128 URBAD W172 LATUX W108 MATNU W115 PINOT B221 SUPAR W505 DSH
ZBAA,ZSJD,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 JDZ
ZBAA,ZSJD,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 JDZ
ZBAA,ZSJD,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 JDZ
ZBAA,ZSJD,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 SEGPI V39 P558 X43 JDZ
